Товар,Код товара,Цена
Пряники Овсяные с кунжутом 450г Шингарева,011199,99.06
Пряники Подмосковные 450г Шингарева,011200,75.8
Пряники Ржаные 450г Шингарева,011201,62.54
Пряники Ржаные вес Шингарева,Ц0172137,141.91
Пряники Сладкая Слобода глазир. варенная сгущенка 300г,Ц0171869,91.15
Пряники Сладкая Слобода глазир. имбирь 350г,Ц0171870,77.7
Пряники Сластена Северные 1кг Шингарева,Ц0155643,126.4
Пряники Сластена Столичные 1кг Шингарева,Ц0155644,127.56
Пряники Советские 400г,Ц0109717,74.98
Пряники Шоколадные 450г Шингарева,011202,63.93
Пряники Яшкино классические 350г,Ц0120409,54.58
Пряники Яшкино мини с вареной сгущенкой 300г KDV,Ц0179888,55.55
Пряники Яшкино мини с малиной 300г KDV,Ц0179889,63.02
Пряники Яшкино мятные 350г,Ц0120410,52.34
Пряники Яшкино с вареной сгущенкой 350г,Ц0120412,66.75
Пряники Яшкино с вишневой начинкой 350г,Ц0120413,67.03
Пряники Яшкино шоколадные 350г,Ц0120414,67
Рулет Аленка молочный шоколад 200г ОК,Ц0124291,88.32
Рулет Ата Буренка сгущ молоко 80г,Ц0158677,24.94
Рулет Ата Буренка сливочный 80г,Ц0157044,23.55
Рулет Домашний бисквит клубника 150г,Ц0172831,53.34
Рулет Мастер Десерта мини ягодный сбор 175г,Ц0172832,61.15
Рулет Мэлори бисквит мини глазир клубн 40г,Ц0156405,17.09
Рулет Мэлори мини глазир. солен карамель 40г,Ц0169205,17.2
Рулет РотФронт Коровка 200г ОК,Ц0124585,92.01
Рулет РотФронт Птичье молоко 200г,Ц0100317,72.59
Рулет Русский бисквит вишневый 300г,003081,63.27
Рулет Русский бисквит сгущенка 300г,003080,63.16
Рулет Русский бисквит тигровый 300г,003091,63.25
Рулет Русский бисквит шоколадный 300г,003094,62.02
Рулет Яшкино бисквит мини клубн 35г,Ц0156406,12.8
Рулет Яшкино бисквит шоколад 200г KDV,Ц0166774,63.35
Рулет Яшкино Вишневый 200г,Ц0121983,62.67
Рулет Яшкино глазир. какао 200г KDV,Ц0180491,66.33
Рулет Яшкино Клубника/сливки 200г,Ц0121984,63.07
Рулет Яшкино мини глазир. клубника 200г KDV,Ц0173087,77.39
Рулет Яшкино мини глазир. солен карамель 200г,Ц0169204,76.28
Рулет Яшкино мини клубника 175г KDV,Ц0173088,58.18
Рулет Яшкино с варен.сгущенкой 200г,Ц0121982,61.21
Рулет Яшкино Черничный 200г,Ц0121985,63.56
Рулет Redcap сливочный сыр маскарпоне 200г KDV,Ц0165025,66.69
Слайсы ЗдороВо пшенич подслащен 150г,Ц0145922,70.19
Слайсы ЗдороВо пшенич подсолен 150г,Ц0145923,63.74
Слайсы ЗдороВо Сладкая клюква 100г,Ц0145925,58.86
Слайсы ЗдороВо Спелая черника 100г,Ц0145924,70.62
Сухари АЗО-Элита бульонные 200г,Ц0101152,47.4
Сухари Азо-Элита Диетические ржаные 150г,Ц0110691,43.58
Сухари Азо-Элита с изюмом 150г,003785,46.9
Сухари Азо-Элита Сливочные 150г,Ц0137364,42.35
Сухари Азо-Элита Суповые 200г,Ц0149042,58.83
Сухари Азо-Элита Mолочные 150г,Ц0110688,42.85
Сухари Айша Ванильные 200г Алиева,Ц0104388,44.71
Сухари Айша Молочные 200г Алиева,000539,45.11
Сухари Айша Отрубные 200г Алиева,000540,45
Сухари Владимирские Дюймовочка вес GL,Ц0138052,296.36
Сухари Владимирские сахарные вес GL,Ц0138051,260.45
Сухари Далматово изюм 200г,Ц0166843,65.88
Сухари Далматово молочные 200г,Ц0138572,62.24
Сухари Долматово изюм вес,Ц0172906,304.02
Сухари Посольские мини ваниль вес,Ц0179945,291.99
Сухари Посольские мини изюм 250г,Ц0179944,84.38
Сухари Презент Сладости детск 200г,Ц0156794,55.03
Сухари Презент Сладости изюм 200г,Ц0156796,52.38
Сухари Серпуховхлеб с маком вес,Ц0172907,321.13
Сухари Серпуховхлеб с орехом вес,Ц0172909,316.22
Сухари Серпуховхлеб сахарные 330г,Ц0180594,95.53
Сухари Элита Московские изюм вес,Ц0135261,255.1
Сушки Алматинские с маком 300г,Ц0168357,36.66
Сушки Арто б/сахара 300г,Ц0154146,59.95
Сушки Арто с маком 300г,Ц0155170,64.48
Сушки Арто с маком вес,Ц0128632,205.32
Сушки Арто Чайные вес Gl,Ц0128637,195.09
Сушки Арто Челночок ванильная 300г,Ц0124168,60.12
Сушки Арто Челночок Киевская с маком вес,Ц0131652,207.78
Сушки Арто Челночок с маком 300г,Ц0123594,63.53
Сушки Владимирские Челночок вес,Ц0138050,209.17
Сушки Долматово Чайная коллекция ваниль 170г,Ц0172904,52.96
Сушки Колечки золотые соленые 200г,Ц0135816,58.85
Сушки Мадина таралли вес,Ц0153316,212.6
Сушки Малышка 300г GL,Ц0135814,56.86
Сушки Малютка золотая 300г,Ц0135813,63.27
Сушки Малютка золотая вес GL,Ц0138049,199.56
Сушки тараллини Machos с сыром 60г KDV Россия 12,Ц0163822,24.73
Сушки тараллини Machos с томатом и травами 60г KDV Россия 12,Ц0163823,22.22
Сушки тараллини Machos с чесноком 60г KDV Россия 12,Ц0163824,22.06
Сушки тараллини Nina Farina с чесноком 180г KDV Россия 24,Ц0155320,53.73
Сушки тараллини Nina Farini 180г KDV Россия 24,Ц0153648,55.06
Сушки Nina Farina тараллини томат/ароматн травы 180г,Ц0157023,54.58
Тарталетки Тимофеев 180г,Ц0161311,126.84
Тарталетки Элита песочные 150г АЗО-ЭЛИТА,Ц0126840,82
Тарталетки SPAR сладкие 240г пл/конт SPR1,Ц0178043,142.91
Тарталетки SPAR соленые 128г пл/конт SPR1,Ц0178045,133.3
Тарталетки SPAR соленые 240г пл/конт SPR1,Ц0178044,142.87
Торт Аленка сливочный 250г ОК,Ц0124290,144.24
Торт Бабаевская Белочка с карам. орехами 250г ОК Россия 6,Ц0157034,144.12
Торт Красный Октябрь мишка косолапый 250г ОК Россия 6,Ц0157035,145.12
Торт РотФронт Добрая мама сгущ. 350г,Ц0105973,166.77
Торт РотФронт Коровка топл молоко 200г ОК Россия 6,Ц0153416,145.11
Торт РотФронт Птичье молоко 350г,Ц0110599,168.09
Торт РотФронт Тирамису 350г,Ц0138387,184.97
Торт Шоколадница арахис 230г,Ц0128670,119.52
Торт Шоколадница карамель порц. 180г,Ц0162369,109.21
Торт Шоколадница классический 240г,Ц0128668,113.2
Торт Шоколадница фундук 230г,Ц0128671,136.38
Торт Яшкино вафельный глазир с орехом 250г,Ц0156571,74.29
Торт Яшкино вишня-шоколад бисквитный 500г Gl,Ц0129468,203.6
Торт Яшкино клубн-сливки бисквитный 500г Gl,Ц0129469,202.43
Торт Baker House Тирамису бисквитный 350г,Ц0130181,215.49
Торт Baker House Шварцвальд бисквитный 350г,Ц0132897,224.22
Трубочки Алматинский продукт Бам Бук с шок. нач. вес,Ц0134890,379.59
Трубочки Бамбураш со сгущ. молоком нач. вес Баро-Конд,Ц0162067,316.91
Трубочки вафельные Алматинский продукт Ассорти мол/шок 1кг,Ц0109944,502.96
Трубочки вафельные Яшкино ореховые 190г,Ц0121969,65.69
Трубочки вафельные O'Zera кокос в белом шок 185г,Ц0175466,92.7
Трубочки Махеевъ с шок. нач. вес,Ц0178488,219.32
Трубочки Моя сладкая провинция Бам Бук со сгущ. нач. вес,Ц0181690,333.27
Хлебцы Аям цельнозерн бел шок. 200г,Ц0159378,113.45
Хлебцы Аям цельнозерн мол. шок 200г,Ц0159377,113.63
Хлебцы Елизавета вафельные пшеница/отруби 85г,Ц0168317,74.85
Хлебцы Елизавета вафельные ржан с отрубями 85г,Ц0168318,76.51
Хлебцы Елизавета хрустящие гречневые 90г,Ц0179948,97.17
Хлебцы Здорово ваф. гречневые 70г Казахстан 45,Ц0171782,54.19
Хлебцы Здорово ваф. мультизлаковые 70 г Казахстан 45,Ц0154023,54.35
Хлебцы Здорово ваф. пшенич.отруб. 70 г Казахстан 45,Ц0154024,55.85
Хлебцы Здорово ваф. ржаные 70 г Казахстан 45,Ц0154025,54.16
Хлебцы Здорово гречневые цельнозерновые 100г GL,Ц0150253,67.05
Хлебцы Здорово рисовые цельнозерновые 100г GL,Ц0150254,62.07
Хлебцы Здоровое Меню №10 мультизлак 90г,Ц0173550,50.73
Хлебцы Здоровое Меню №12 кукуруз. пшеничный с протеином 90г,Ц0179974,47.73
Хлебцы Любятово с гречкой 185г,Ц0180090,75.37
Хлебцы Ого! гречневые 75г,Ц0139872,66.42
Хлебцы Ого! кукурузные 75г,Ц0139870,52.98
Хлебцы Ого! мультизлаковые 75г,Ц0177649,65.45
Хлебцы Ого! с луком 75г GL,Ц0139869,57.64
Хлебцы Ого! столовые 75г,Ц0139868,58.47
Хлебцы Царь с укропом 90г GL,Ц0179975,50.73
Хлебцы Элита гречневые 200г GL,Ц0150199,60.18
Хлебцы Элита гречневые 250г,Ц0140845,65.14
Хлебцы Элита мультизлаковые 200г GL,Ц0150198,62.82
Хлебцы Элита мультизлаковые 250г,Ц0140843,69.58
Хлебцы Элита отрубные 200г GL,Ц0150200,54.83
Хлебцы Элита сырные 200г GL,Ц0150201,78.25
Хлебцы Baker House овсяные с луком 90г,Ц0159576,95.15
Хлебцы Baker House овсяные с розмарин 90г,Ц0159577,98.62
Хлебцы Baker House ржаные с чесноком 90г,Ц0159578,95.16
Хлебцы Baker House розмарин чеснок 250г,Ц0130184,172.08
Хлебцы Baker House семена тыквы 250г,Ц0130183,170
Хлебцы Baker House томат орегано 250г,Ц0147035,172.71
Хлебцы BioFoodLab Take a Bite греч. 150г НВ,Ц0177550,145.14
Хлебцы Burger Delikatesse 2шт ES РЦ,Ц0165533,27.51
Хлебцы Burger Sesam 2шт ES РЦ,Ц0165534,25.01
Хлебцы Burger Urtyp 2шт ES РЦ,Ц0165532,28.38
Хлебцы Di&Di амарант. с топинамбуром 195г НВ,Ц0177608,132.12
Хлебцы Dr.Korner 7 злаков 100г,Ц0158094,92.43
Хлебцы Dr.Korner Бородинские 100г,Ц0158095,82.09
Хлебцы Dr.Korner гречневые б/глютена 100г,Ц0158096,95.15
Хлебцы Dr.Korner злак коктейль карамель 100г Россия 12,Ц0153359,91.51
Хлебцы Dr.Korner злак коктейль клюква 100г Россия 12,Ц0153358,91.89
Хлебцы Dr.Korner злак коктейль черничн 100г Россия 12,Ц0153356,95.45
Хлебцы Dr.Korner злак. коктейль медовые 100г,Ц0164530,85.58
Хлебцы Dr.Korner злак. микс 90г,Ц0164531,71.12
Хлебцы Dr.Korner Злаковый коктейль абрикос 100г,Ц0170490,79.05
Хлебцы Dr.Korner Злаковый коктейль сырный 100г,Ц0158097,92.8
Хлебцы Dr.Korner Злаковый коктейль ябл/корица 90г,Ц0158093,80.23
Хлебцы Dr.Korner из бурого риса с морск солью б/глютена 100г,Ц0158099,108.46
Хлебцы Dr.Korner кукурузно-рисовые б/глютена чиа и льном 100г,Ц0158098,106.21
Хлебцы Dr.Korner кукурузно-рисовые прован. травы б/глют 100г,Ц0164532,109.56
Хлебцы Dr.Korner кукурузно–рисовые имбирь/лимон 100г Россия 12,Ц0153357,81.77
Хлебцы Dr.Korner лимон 100г,Ц0164529,95.07
Хлебцы Dr.Korner мини нежн карамель б/глютена 30г,Ц0158107,46.86
Хлебцы Dr.Korner мини румяное яблоко б/глютена 30г,Ц0160385,44.64
Хлебцы Dr.Korner мини спелый банан б/глютена 30г,Ц0158108,44.44
Хлебцы Dr.Korner овсян/пшеничн смесь семян 100г,Ц0165860,109.71
Хлебцы Eco-botanica ваф твор сыр/прованские травы 75г ОК,Ц0170649,50.54
Хлебцы Fit Bread бородинские 200г Золотой колос,Ц0157347,74.64
Хлебцы Fit Bread гречн 200г Золотой колос,Ц0165616,73.95
Хлебцы Fit Bread злак/морк смесь 200г Золотой Колос,Ц0154675,74.35
Хлебцы Fit Bread микс 200г Золотой колос,Ц0158481,74.73
Хлебцы Fit Bread острые 200г Золотой колос,Ц0158482,74.52
Хлебцы Fit Bread отрубные 200г Золотой колос,Ц0103077,74.81
Хлебцы Fit Bread фитнес 200г Золотой колос,Ц0107704,72.49
Хлебцы Fitstart мультизлаковые лесные ягоды 100г,Ц0180266,55.28
Хлебцы Fitstart рисовые манго маракуйя 100г,Ц0180267,54.65
Хлебцы Fitstart рисовые укроп с солью 90г,Ц0180268,58.13
Хлебцы Nuska&K Жупка в ассорт. 130г,Ц0148022,65.51
Хлебцы Nuska&K Жупка в ассорт. 250г,Ц0148023,71.87
Хлебцы Nuska&K Жупка в ассорт. 500г,Ц0148024,117.91
Хлебцы №1 вафельные 70г мультизлаковые PL1,Ц0171313,42.9
Хлебцы №1 вафельные 70г пшеничные PL1,Ц0171314,42.26
Хлебцы №1 вафельные 70г ржаные PL1,Ц0171315,42.95
Хлебцы №1 цельнозерновые 100г пшеничные PL1,Ц0171318,59.33
Хлебцы №1 цельнозерновые 100г рисовые PL1,Ц0171317,42.98
Хлебцы №1 цельнозерновые 100г со вкусом черники PL1,Ц0171316,47.13
Хлебцы Sinicka с семенем льна 200г,Ц0165617,104.84
Хлебцы Sinicka с семенем тыквы 200г,Ц0165618,104.44
Чак-чак 200г Куликовский,Ц0169612,169.23
Чипсы Dr.Korner зерн. сыр 40г,Ц0175637,67.76
Чипсы Dr.Korner кукурузно-рисовые паприка/чили 50г,Ц0158102,69.97
Чипсы Dr.Korner кукурузно-рисовые с карамельным луком и уксусом 50г,Ц0178695,68.85
Чипсы Dr.Korner кукурузно-рисовые с олив. маслом и розмар 50г,Ц0158101,70.51
Чипсы Dr.Korner кукурузно-рисовые цельнозерн сыр 50г,Ц0164534,70.51
Чипсы Dr.Korner кукурузно-рисовые цельнозерн том/базил 50г,Ц0164535,69.48
Чипсы Dr.Korner Рисовые сметана/зелень 40г,Ц0172778,70.2
Батончик шок. Roof Невский кондитер вес РЦ,Ц0174005,215.31
Батончик Яшар Rumi 500г,Ц0164498,174.36
Конфеты шок Edle Tropfen бел шок с ликер 250г ES,Ц0178027,128.92
Конфеты шок Pink coconut глаз. вес Марсианка,Ц0175060,543.22
Конфеты шок Reber Constanze Mozart 240г ES,Ц0178029,1072.51
Конфеты шок Reber Mozart Ассорти 200г ES,Ц0178030,662.97
Конфеты шок. Адель миндаль 150г,Ц0167991,133.9
Конфеты шок. Акконд Адель миндаль 180г,Ц0174016,192.26
Конфеты шок. Акконд Адель с цельн миндалем 500г,Ц0156774,310.55
Конфеты шок. Акконд Адель с цельн миндалем вес,Ц0160050,569.69
Конфеты шок. Акконд Добрянка десерт мини с фунд вес,Ц0156779,526.04
Конфеты шок. Акконд Добрянка десерт с фунд вес,Ц0156778,470.5
Конфеты шок. Акконд Орешка с цельн фунд/сливки вес,Ц0156771,465.02
Конфеты шок. Акконд Орешка с цельн фунд/шок вес,Ц0156773,453.21
Конфеты шок. Акконд отломи вес,Ц0156777,462.79
Конфеты шок. Аленка вес ОК,Ц0125257,487.85
Конфеты шок. Аленка крем-брюле овал вес Красный Октябрь,Ц0126578,361.64
Конфеты шок. Алёнка мол. 185г Красный Октябрь,Ц0170645,323.26
Конфеты шок. Ата Буренка ваф. вес,Ц0166795,257.74
Конфеты шок. Ата Танго сгущ. молоко 700г,Ц0162737,200.35
Конфеты шок. Ата Танго сливочное 700г,Ц0157045,198.98
Конфеты шок. Ата Танго топлен молоко 700г,Ц0162738,199.79
Конфеты шок. Ата Samba кофе 700г,Ц0162739,200.35
Конфеты шок. Ата Samba фундук 700г,Ц0162740,196.67
Конфеты шок. Атаг Арфа вес,Ц0138397,671.57
Конфеты шок. Атаг Пятнадцать грамм золота вес,Ц0138406,673.72
Конфеты шок. Атаг Угости друзей вес,Ц0177055,655.39
Конфеты шок. Бабаевские Ассорти 280г ОК,Ц0165723,349.32
Конфеты шок. Бабаевские Конверт вес ОК,Ц0131811,909.5
Конфеты шок. Бабаевские оригинальные вес ОК,Ц0139978,473.25
Конфеты шок. Бабаевские трюф.крем вес ОК,Ц0170512,684.33
Конфеты шок. Бабаевские шок. вкус вес ОК Россия,Ц0153412,557.12
Конфеты шок. Бабаевский Белочка вес ОК,003653,903.43
Конфеты шок. Волшебная лампа вес Невский кондитер,Ц0147415,224.6
Конфеты шок. Жако Бочонок фигурный вес,Ц0173405,551.91
Конфеты шок. Жако крем-кешью вес GL,Ц0135744,574.65
Конфеты шок. Жако Мадам крем-фундук 700г,Ц0134908,399.72
Конфеты шок. Жако Суфле ваниль вес GL,Ц0134672,400.27
Конфеты шок. Жако Суфле вишня вес GL,Ц0134673,401.84
Конфеты шок. Жако Суфле крем-брюле 700г GL,Ц0134670,258.62
Конфеты шок. Жако Суфле крем-брюле вес,Ц0134674,405.51
Конфеты шок. Желейные вишня вес KDV,Ц0164245,228.84
Конфеты шок. Испанская ночь вес Невский кондитер,Ц0108320,245.04
Конфеты шок. Казахстанский вес Рахат,Ц0170799,737.24
Конфеты шок. Картошка вес Невский кондитер,Ц0149263,313.73
Конфеты шок. Картошка особая вес Невский кондитер,Ц0160621,269.17
Конфеты шок. Киев Конти Джек вес.,Ц0106918,354.08
Конфеты шок. Ковбой Джонни ваф.какао вес Невский кондитер,Ц0147095,191.64
Конфеты шок. Коммунарка Беловежская пуща вес РЦ,Ц0181521,366.37
Конфеты шок. Коммунарка Сладкий подарок 260г РЦ,Ц0181519,240.27
Конфеты шок. Коммунарка Трюфели 300г РЦ,Ц0181520,322.02
Конфеты шок. Коммунарка Dolce Mia 240г РЦ,Ц0181516,289.93
Конфеты шок. Коммунарка Maya Legends 385г РЦ,Ц0181517,696.68
Конфеты шок. Коммунарка Maya Legends Premium 385г РЦ,Ц0181518,873.52
Конфеты шок. Комплимент трюфель 270г,Ц0152501,372.32
Конфеты шок. Конти Сладкое созвучие ассорти вес,Ц0139981,324.43
Конфеты шок. Коровка молочная 275г ОК,Ц0170655,166.82
Конфеты шок. Коровка суфле вес Красный Октябрь,Ц0128472,526.96
Конфеты шок. Коровка шоколадная 275г ОК,Ц0170656,169.05
Конфеты шок. Красный Октябрь Кара-Кум вес ОК,Ц0120363,483.19
Конфеты шок. Красный Октябрь Красный мак вес ОК,031397,581.28
Конфеты шок. Красный Октябрь Маска вес ОК,003756,529.41
Конфеты шок. Красный Октябрь с цел и дроб фундуком 200г ОК,Ц0155242,326.32
Конфеты шок. Красный Октябрь Трюфель вес ОК,Ц0139976,756.98
Конфеты шок. Красный Октябрь шок вес ОК,Ц0160052,406.72
Конфеты шок. Крокант вес KDV,Ц0120434,268.99
Конфеты шок. Крупской Ассорти 149г,Ц0180343,203.87
Конфеты шок. Курага Петровна вес,Ц0135713,787.7
Конфеты шок. Марсианка Асти вес Сладкий орешек,Ц0164762,441.49
Конфеты шок. Марсианка кокосовый пудинг вес Сладкий орешек,Ц0131799,433.89
Конфеты шок. Марсианка Семифредо вес Сладкий орешек,Ц0164765,415.75
Конфеты шок. Марсианка тирамису вес,Ц0150298,442.43
Конфеты шок. Марсианка Три шоколада вес Сладкий орешек,Ц0150191,445.18
Конфеты шок. Марсианка Трюфель вес Сладкий орешек,Ц0164766,442.18
Конфеты шок. Марсианка Чизкейк вес Сладкий орешек,Ц0150192,447.13
Конфеты шок. Марсианка шок манже вес,Ц0150299,433.03
Конфеты шок. Марсианка Экзотик вес Сладкий орешек,Ц0168417,413.69
Конфеты шок. Марсианка Эстерхази вес Сладкий орешек,Ц0164767,424.24
Конфеты шок. Марсианка Bora-Bora кокос вес,Ц0164489,356.54
Конфеты шок. Махеев Трюфель молочный вес,Ц0150301,550.59
Конфеты шок. Махеев Трюфель оригинал вес,Ц0150302,550.7
Конфеты шок. Махеев Шадо вишня вес,Ц0135721,227.69
Конфеты шок. Миндаль Иванович вес,Ц0135714,624.03
Конфеты шок. Мини перекус арахис 800г Кыргызстан 4,Ц0153432,235.2
Конфеты шок. Мини перекус кунжут 800г Кыргызстан 4,Ц0153434,231.83
Конфеты шок. Мини перекус с крошкой 800г Кыргызстан 4,Ц0153433,241.07
Конфеты шок. Мишкино счастье козинак глаз. подсолн вес,Ц0133952,330.69
Конфеты шок. Мишкино счастье халва глаз. подсолн вес,Ц0134553,262.28
Конфеты шок. Моне молочный трюфель вес GLКонти,Ц0135693,522.83
Конфеты шок. Моне черный трюфель вес GL Конти,Ц0135695,523.36
Конфеты шок. Невская коллекция торт муравейник вес Невский кондитер,Ц0164556,335.26
Конфеты шок. Никея вес Курск,Ц0171000,328.57
Конфеты шок. Ореховая страна вес Невский кондитер РЦ,Ц0172839,225.23
Конфеты шок. Петушок вес Южуралкондитер,Ц0166822,490.94
Конфеты шок. Пирожное картошка вес Невский кондитер,Ц0156713,254.69
Конфеты шок. Победа Мишки в лесу вафельные 72% вес,Ц0123489,790.36
Конфеты шок. Победа Мишки в лесу купол вес,Ц0147070,642.3
Конфеты шок. Победа Птица счастья вес,Ц0150304,777.24
Конфеты шок. Победа Соната купол вес,Ц0119399,726.12
Конфеты шок. Победа Трюфели вес,Ц0150305,1105.09
Конфеты шок. Победа Трюфель какао темн б/сах вес,Ц0174131,1383.49
Конфеты шок. Победа Трюфель марципан вес,Ц0173942,1763.11
Конфеты шок. Победа Трюфель марципан/орех вес,Ц0173943,1754.49
Конфеты шок. Победа Charged горький б/сах вес,Ц0173944,1089.29
Конфеты шок. Победа Charged мол. б/сах вес,Ц0173945,1074.02
Конфеты шок. Рахат 70% вес Рахат,Ц0170797,789.17
Конфеты шок. Рахат 80% вес Рахат,Ц0170798,780.65
Конфеты шок. Рахат Алтын Кум вес.,003704,459.32
Конфеты шок. Рахат вес,003699,503.85
Конфеты шок. Рахат Вечер вес,003700,316.62
Конфеты шок. Рахат Гармония вес,003701,498.91
Конфеты шок. Рахат Гулдер вес,Ц0128465,186.02
Конфеты шок. Рахат Достык вес,003703,508.62
Конфеты шок. Рахат Казахстан 275г,Ц0163086,227.85
Конфеты шок. Рахат Красный мак вес,003705,460.52
Конфеты шок. Рахат Мишутка Конжик вес,000512,530.16
Конфеты шок. Рахат Чернослив в шоколаде вес,Ц0128466,1285.82
Конфеты шок. Рахат Crazy Frog вес,Ц0175984,608.78
Конфеты шок. Рахат Snatch вес,Ц0171883,608.8
Конфеты шок. РотФронт Коровка молоко вес ОК,Ц0120356,442.4
Конфеты шок. РотФронт Коровка шоколад вес ОК,Ц0120357,445.29
Конфеты шок. РотФронт Москва 200г ОК,Ц0155046,255.65
Конфеты шок. РотФронт Подмосковные вечера Ассорти 200г ОК,Ц0126580,188.3
Конфеты шок. РотФронт Птичье молоко слив-ваниль вес ОК,Ц0131809,542.58
Конфеты шок. РотФронт Птичье молоко слив/ваниль 200г ОК,Ц0126579,142.77
Конфеты шок. РотФронт трюфель имбирно-пряничный вес ОК Россия,Ц0153415,740.36
Конфеты шок. Ротфронт халва вес ОК,Ц0170511,507.83
Конфеты шок. Румба Той глазир. нуга/карамель вес,Ц0154208,408.53
Конфеты шок. Славянка Золотой степ вес,Ц0126617,449.16
Конфеты шок. Славянка Медунок с орехом вес,Ц0126618,389.5
Конфеты шок. Славянка Перезвон ваф. крошка 220г,Ц0129977,224.43
Конфеты шок. Славянка Славяночка вес,Ц0126616,456.39
Конфеты шок. Славянка степ лесной орех вес,Ц0153467,485.75
Конфеты шок. Славянка Супер Степ вес,Ц0138139,365.39
Конфеты шок. Славянка Сюжет кофейный вес,Ц0138247,419.99
Конфеты шок. Славянка Топленое молоко вес,Ц0126615,393.51
Конфеты шок. Снежная особа вес Невский кондитер,Ц0175291,243.08
Конфеты шок. Спартак трюфели люкс 255г Беларусь 6,Ц0153491,248.92
Конфеты шок. Спартак трюфели нежные 255г Беларусь 6,Ц0153492,248.51
Конфеты шок. Темная ночь вес Невский кондитер,Ц0147098,206.92
Конфеты шок. Трюфель ваниль вес Махеев,Ц0173941,547.82
Конфеты шок. Хрусттой нуга/карамель вес,Ц0163014,504.15
Конфеты шок. Чернослив Михайлович вес,Ц0135716,899.33
Конфеты шок. Чук и Гек вес. Курская КФ,Ц0106904,439.27
Конфеты шок. Шерил вес Невский Кондитер РЦ,Ц0171815,184.79
Конфеты шок. Яшар Магма апельсин 900г,Ц0158897,261.28
Конфеты шок. Яшар Магма клубника 900г,Ц0158898,258.25
Конфеты шок. Яшар Nova 500г,Ц0164499,230.45
Конфеты шок. Яшкино Верsаль вес,Ц0147373,257.98
Конфеты шок. Яшкино Глэйс с молочн.вкусом вес,Ц0121986,236.3
Конфеты шок. Яшкино Глэйс с шок.вкусом вес,Ц0121987,241.79
Конфеты шок. Яшкино Джаззи карамель вес,Ц0120427,247.9
Конфеты шок. Яшкино Джаззи карамель-арахис вес,Ц0120428,262.17
Конфеты шок. Яшкино Мексикана вес,Ц0150297,251.95
Конфеты шок. Яшкино Чио Рио вес,Ц0121276,322.54
Конфеты шок. Яшкино Чио Рио хруст.карамель/морская соль вес KDV,Ц0173096,336.76
Конфеты шок. Яшкино Ярче арахис в карамели вес,Ц0120432,288.92
Конфеты шок. Яшкино Ярче семечка в карамели вес,Ц0120433,225.33
Конфеты шок. Яшкино Belucci лимон вес KDV,Ц0166784,285.19
Конфеты шок. Яшкино Belucci слив.вес GL,Ц0147066,283.47
Конфеты шок. Яшкино Belucci шок.вес GL,Ц0147065,285.57
Конфеты шок. Яшкино Elle шок-орех вес KDV,Ц0173100,325.25
Конфеты шок. Яшкино Elle шок. вес KDV,Ц0173099,353.33
Конфеты шок. Яшкинская картошка вес Gl,Ц0128486,243.79
Конфеты шок. Amapola миндаль и кокос 100г,Ц0180014,224.37
Конфеты шок. Amapola фундук и ваниль 100г,Ц0180015,222.85
Конфеты шок. Attache Ассорти вес Невский кондитер,Ц0172233,225.67
Конфеты шок. Attache Итальянский десерт вес Невский кондитер,Ц0153174,227.84
Конфеты шок. Attache Малиновый чизкейк вес Невский кондитер,Ц0156697,234.14
Конфеты шок. Baby Fox Creamy Choco вес KDV,Ц0169511,489.2
Конфеты шок. Babyfox молочный вес KDV,Ц0166617,545.69
Конфеты шок. Belcanto вес Невский кондитер,Ц0175292,387.95
Конфеты шок. Belissimo вес Курск,Ц0171001,422.26
Конфеты шок. Black night ассорти вес Невский кондитер РЦ,Ц0174025,228.5
Конфеты шок. Bora лимон глаз. вес Марсианка,Ц0175061,375.26
Конфеты шок. Bora манго глаз. вес Марсианка,Ц0175062,368.12
Конфеты шок. Bounty Райский ананас вес.,Ц0170793,707.37
Конфеты шок. Bounty Loose вес.,Ц0136798,722.46
Конфеты шок. Bucheron трюфель классич. 175г,Ц0159164,463.43
Конфеты шок. Bucheron трюфель с цельн фундуком 175г,Ц0159165,322.21
Конфеты шок. Choco Break мол. вес,Ц0173757,503.75
Конфеты шок. Choco Break шок-орех вес,Ц0173759,482.09
Конфеты шок. Cobarde белый шоколад вес Россия,Ц0153088,419.38
Конфеты шок. Cobarde темный шоколад вес Россия,Ц0153089,407.64
Конфеты шок. Doriva Waferello фундук/шок вес РЦ,Ц0163058,563.81
Конфеты шок. Elvan Fondante кремовая начинка вес,Ц0150633,431.23
Конфеты шок. Elvan Fondante ментоловая начинка вес,Ц0150634,433.38
Конфеты шок. Elvan Fondante молочная начинка вес,Ц0150443,417.66
Конфеты шок. Fancy желе вес KDV,Ц0164254,255.99
Конфеты шок. Ferrero Collection 172г T15 GL,Ц0138336,590.51
Конфеты шок. Ferrero Collection 269г,Ц0163288,1164.86
"Конфеты шок. Ferrero Collection Premium Assortment 109,3г",Ц0166760,382.5
Конфеты шок. Ferrero Roсher 200г,003400,548.72
Конфеты шок. Ferrero Roсher 300г,003401,950.44
Конфеты шок. Ferrero Rosher 75г,Ц0162660,267.93
Конфеты шок. Fiorella La Trufa Cocoa 200г,Ц0180838,172.83
Конфеты шок. Go up Wafers bar вафель. слив вес,Ц0173756,338.38
Конфеты шок. Impresso Premium 424г,Ц0161179,931.24
